onset_time,offset_time,IPT,note,
1.044375,1.821854167,boxian,50,
1.821854167,2.576125,boxian,66,
2.576125,3.318791667,boxian,45,
3.318791667,4.096270833,boxian,66,
4.096270833,4.8389375,boxian,50,
4.8389375,5.593208333,boxian,66,
5.593208333,6.3010625,boxian,45,
6.3010625,7.043729167,boxian,66,
7.043729167,7.728375,boxian,62,
7.728375,8.424625,boxian,66,
8.424625,9.759104167,boxian,69,
9.759104167,10.43214583,shanghua,78,
10.43214583,11.08197917,xiahua,78,
11.08197917,11.44170833,boxian,76,
11.44170833,11.74341667,boxian,78,
11.74341667,12.10314583,boxian,74,
12.10314583,12.43966667,chanyin,76,
12.43966667,13.019875,boxian,71,
13.019875,13.69291667,yaozhi,74,
13.69291667,14.31954167,boxian,69,
14.31954167,14.95777083,boxian,69,
14.95777083,15.58439583,boxian,57,
15.58439583,15.92091667,boxian,66,
15.92091667,16.222625,boxian,69,
16.222625,16.84925,boxian,64,
16.84925,17.49908333,boxian,66,
17.49908333,18.1373125,chanyin,69,
18.1373125,18.450625,boxian,66,
18.450625,18.81035417,boxian,69,
18.81035417,19.43697917,boxian,74,
19.43697917,20.07520833,boxian,66,
20.07520833,21.29364583,chanyin,69,
21.29364583,21.59535417,boxian,67,
21.59535417,21.92027083,boxian,69,
21.92027083,22.54689583,boxian,66,
22.54689583,22.837,boxian,67,
22.837,23.13870833,boxian,69,
23.13870833,23.7769375,chanyin,66,
23.7769375,24.09025,boxian,64,
24.09025,24.36875,boxian,66,
24.36875,24.67045833,boxian,69,
24.67045833,25.08820833,boxian,71,
25.08820833,25.71483333,boxian,62,
25.71483333,26.387875,boxian,62,
26.387875,26.67797917,boxian,64,
26.67797917,26.9796875,boxian,66,
26.9796875,27.58310417,boxian,62,
27.58310417,27.8848125,boxian,64,
27.8848125,28.198125,boxian,66,
28.198125,28.83635417,boxian,62,
28.83635417,29.11485417,boxian,64,
29.11485417,29.4165625,boxian,66,
29.4165625,29.9735625,boxian,62,
29.9735625,30.5305625,boxian,50,
30.5305625,31.14558333,boxian,62,
31.14558333,31.44729167,boxian,64,
31.44729167,31.73739583,boxian,64,
31.73739583,32.03910417,boxian,66,
32.03910417,32.3408125,boxian,64,
32.3408125,33.49066667,chanyin,66,
33.49066667,34.06983333,yaozhi,69,
34.06983333,34.6384375,boxian,71,
34.6384375,35.20704167,boxian,74,
35.20704167,35.78725,boxian,69,
35.78725,36.39066667,chanyin,67,
36.39066667,36.6575625,boxian,66,
36.6575625,36.99408333,boxian,64,
36.99408333,38.21252083,boxian,66,
38.21252083,38.83914583,boxian,57,
38.83914583,40.04597917,boxian,76,
40.04597917,40.70741667,boxian,76,
40.70741667,41.29922917,boxian,78,
41.29922917,41.62414583,boxian,76,
41.62414583,41.92585417,boxian,78,
41.92585417,42.20435417,boxian,76,
42.20435417,42.49445833,boxian,74,
42.49445833,42.79616667,boxian,71,
42.79616667,43.08627083,boxian,74,
43.08627083,43.39958333,boxian,76,
43.39958333,43.6896875,boxian,78,
43.6896875,44.6644375,boxian,74,
44.6644375,45.10539583,yaozhi,59,
45.10539583,45.7088125,boxian,57,
45.7088125,46.300625,boxian,59,
46.300625,46.8924375,boxian,62,
46.8924375,47.19414583,boxian,59,
47.19414583,47.50745833,boxian,62,
47.50745833,48.09927083,boxian,57,
48.09927083,48.67947917,boxian,62,
48.67947917,49.781875,boxian,62,
49.781875,50.3736875,boxian,74,
50.3736875,50.687,boxian,71,
50.687,51.01191667,boxian,69,
51.01191667,51.26720833,boxian,66,
51.26720833,51.54570833,boxian,69,
51.54570833,51.82420833,boxian,71,
51.82420833,52.149125,boxian,74,
52.149125,53.23991667,boxian,69,
53.23991667,54.3423125,boxian,69,
54.3423125,54.63241667,boxian,62,
54.63241667,54.934125,boxian,64,
54.934125,55.47952083,boxian,66,
55.47952083,56.07133333,yaozhi,64,
56.07133333,56.7095625,boxian,66,
56.7095625,56.9880625,boxian,62,
56.9880625,57.28977083,boxian,64,
57.28977083,57.95120833,boxian,66,
57.95120833,58.485,yaozhi,64,
58.485,59.13483333,boxian,66,
59.13483333,59.83108333,boxian,71,
59.83108333,60.1211875,boxian,66,
60.1211875,60.44610417,boxian,64,
60.44610417,61.0263125,boxian,62,
61.0263125,61.68775,shanghua,61,
61.68775,62.85977083,boxian,62,
62.85977083,63.48639583,boxian,50,
63.48639583,63.75329167,boxian,57,
63.75329167,64.055,boxian,59,
64.055,64.6468125,boxian,62,
64.6468125,64.94852083,boxian,64,
64.94852083,65.2734375,boxian,64,
65.2734375,65.84204167,boxian,66,
65.84204167,66.44545833,boxian,54,
66.44545833,67.02566667,boxian,66,
67.02566667,67.66389583,boxian,69,
67.66389583,68.32533333,boxian,74,
68.32533333,68.91714583,yaozhi,73,
68.91714583,69.54377083,chanyin,71,
69.54377083,70.15879167,boxian,57,
70.15879167,70.808625,boxian,78,
70.808625,71.48166667,yaozhi,78,
71.48166667,72.11989583,boxian,78,
72.11989583,72.78133333,boxian,76,
72.78133333,74.02297917,boxian,74,
74.02297917,74.64960417,boxian,74,
74.64960417,75.70558333,boxian,74,
