onset_time,offset_time,IPT,note,
0.835918367,3.111473923,boxian,52,
0.835918367,3.111473923,boxian,40,
3.111473923,4.435011338,boxian,47,
4.435011338,5.654058957,boxian,47,
5.654058957,8.092154195,boxian,52,
5.654058957,8.092154195,boxian,40,
8.092154195,9.183492063,boxian,59,
9.183492063,10.29804989,boxian,59,
10.29804989,12.28335601,boxian,52,
10.29804989,12.28335601,boxian,40,
12.28335601,13.3630839,boxian,47,
13.3630839,14.37315193,boxian,47,
14.37315193,16.34684807,boxian,52,
14.37315193,16.34684807,boxian,40,
16.34684807,17.36852608,boxian,59,
17.36852608,18.40181406,chanyin,59,
18.40181406,20.10848073,yaozhi,55,
20.10848073,20.59609977,yaozhi,54,
20.59609977,21.94285714,yaozhi,55,
21.94285714,22.44208617,yaozhi,57,
22.44208617,23.83528345,yaozhi,59,
23.83528345,24.29968254,yaozhi,57,
24.29968254,25.74657596,yaozhi,59,
25.74657596,27.79428571,yaozhi,57,
27.79428571,29.22231293,yaozhi,55,
29.22231293,30.23238095,yaozhi,54,
30.23238095,33.44834467,yaozhi,52,
34.79510204,35.78195011,boxian,52,
34.79510204,35.78195011,boxian,40,
35.78195011,36.73396825,boxian,59,
35.78195011,36.73396825,boxian,52,
36.73396825,37.72081633,boxian,59,
36.73396825,37.72081633,boxian,52,
37.72081633,38.67283447,boxian,52,
37.72081633,38.67283447,boxian,40,
38.67283447,41.66820862,boxian,57,
38.67283447,41.66820862,boxian,45,
41.66820862,42.63183674,boxian,55,
41.66820862,42.63183674,boxian,43,
42.63183674,44.00181406,boxian,47,
42.63183674,44.00181406,boxian,54,
44.00181406,44.48943311,boxian,57,
44.00181406,44.48943311,boxian,45,
44.48943311,45.47628118,boxian,55,
44.48943311,45.47628118,boxian,43,
45.47628118,46.48634921,boxian,47,
45.47628118,46.48634921,boxian,54,
46.48634921,47.86793651,boxian,52,
46.48634921,47.86793651,boxian,40,
47.86793651,48.37877551,boxian,50,
47.86793651,48.37877551,boxian,38,
48.37877551,49.29596372,boxian,47,
48.37877551,49.29596372,boxian,40,
49.29596372,49.76036281,boxian,47,
49.29596372,49.76036281,boxian,40,
49.76036281,50.27120181,boxian,47,
49.76036281,50.27120181,boxian,40,
50.27120181,51.65278912,boxian,52,
50.27120181,51.65278912,boxian,40,
51.65278912,52.09396825,boxian,47,
51.65278912,52.09396825,boxian,54,
52.09396825,53.05759637,boxian,55,
52.09396825,53.05759637,boxian,43,
53.05759637,53.99800454,boxian,57,
53.05759637,53.99800454,boxian,45,
53.99800454,55.24027211,boxian,59,
53.99800454,55.24027211,boxian,47,
55.24027211,55.73950113,boxian,50,
55.24027211,55.73950113,chanyin,62,
55.73950113,56.62185941,boxian,59,
55.73950113,56.62185941,boxian,47,
56.62185941,57.50421769,boxian,45,
56.62185941,57.50421769,chanyin,57,
57.50421769,58.36335601,boxian,55,
57.50421769,58.36335601,boxian,43,
58.36335601,58.79292517,boxian,57,
58.36335601,58.79292517,boxian,45,
58.79292517,59.24571429,boxian,47,
58.79292517,59.24571429,chanyin,59,
59.24571429,60.18612245,boxian,57,
59.24571429,60.18612245,boxian,45,
60.18612245,61.13814059,boxian,55,
60.18612245,61.13814059,boxian,43,
61.13814059,63.12344671,boxian,52,
61.13814059,63.12344671,boxian,40,
63.12344671,64.11029479,boxian,52,
63.12344671,64.11029479,boxian,40,
64.11029479,65.0739229,boxian,47,
65.0739229,65.49188209,boxian,64,
65.49188209,65.95628118,chanyin,76,
65.95628118,66.35102041,boxian,71,
66.35102041,66.79219955,boxian,83,
66.79219955,67.21015873,boxian,71,
67.21015873,67.66294785,chanyin,83,
67.66294785,68.08090703,boxian,64,
68.08090703,68.54530612,chanyin,76,
68.54530612,68.94004535,boxian,69,
68.94004535,69.35800454,boxian,81,
69.35800454,69.77596372,boxian,81,
69.77596372,70.21714286,chanyin,81,
70.21714286,70.62349206,boxian,69,
70.62349206,71.05306122,chanyin,81,
71.05306122,71.50585034,boxian,67,
71.50585034,71.94702948,boxian,79,
71.94702948,72.36498866,chanyin,78,
72.36498866,72.79455782,chanyin,78,
72.79455782,73.22412698,boxian,69,
73.22412698,73.65369615,boxian,81,
73.65369615,74.07165533,boxian,67,
74.07165533,74.48961451,boxian,79,
74.48961451,74.93079365,chanyin,78,
74.93079365,75.37197279,chanyin,78,
75.37197279,75.80154195,boxian,64,
75.80154195,76.19628118,boxian,76,
76.19628118,76.62585034,boxian,76,
76.62585034,77.06702948,chanyin,74,
77.06702948,77.98421769,boxian,64,
77.06702948,77.98421769,chanyin,71,
77.98421769,78.37895692,boxian,71,
77.98421769,78.37895692,boxian,64,
78.37895692,78.83036281,boxian,64,
78.37895692,78.83036281,chanyin,71,
78.83036281,79.19165533,boxian,64,
79.19165533,79.60961451,boxian,76,
79.60961451,80.0275737,boxian,76,
80.0275737,80.45714286,chanyin,78,
80.45714286,80.86349206,boxian,67,
80.86349206,81.28145125,boxian,79,
81.28145125,81.68780045,boxian,79,
81.68780045,82.14058957,chanyin,81,
82.14058957,82.52371882,boxian,71,
82.52371882,82.94167801,boxian,83,
82.94167801,83.37124717,boxian,83,
83.37124717,83.8124263,chanyin,86,
83.8124263,84.19555556,boxian,71,
84.19555556,84.60190476,boxian,83,
84.60190476,85.03147392,boxian,83,
85.03147392,85.47265306,chanyin,81,
85.47265306,85.87900227,boxian,67,
85.87900227,86.29696145,chanyin,79,
86.29696145,86.71492064,boxian,81,
86.71492064,87.1444898,chanyin,83,
87.1444898,87.57405896,boxian,69,
87.57405896,88.0152381,boxian,81,
88.0152381,88.40997732,boxian,67,
88.40997732,88.87437642,chanyin,79,
88.87437642,90.74358277,boxian,76,
88.87437642,90.74358277,boxian,64,
90.74358277,91.62594104,boxian,67,
90.74358277,91.62594104,boxian,71,
91.62594104,93.10040816,boxian,71,
91.62594104,93.10040816,boxian,64,
