onset_time,offset_time,IPT,note
0.649833333,1.903083333,boxian,52
1.903083333,3.075104167,boxian,64
3.075104167,4.247125,chanyin,64
4.247125,5.477166667,chanyin,62
5.477166667,6.637583333,boxian,47
6.637583333,7.879229167,boxian,59
7.879229167,10.22327083,chanyin,59
10.22327083,11.46491667,boxian,50
11.46491667,12.64854167,chanyin,62
12.64854167,13.83216667,boxian,62
13.83216667,15.09702083,shanghua,59
15.09702083,16.3270625,boxian,45
16.3270625,17.55710417,boxian,57
17.55710417,18.71752083,boxian,57
18.71752083,19.843125,chanyin,59
19.843125,21.02675,boxian,50
21.02675,22.33802083,chanyin,62
22.33802083,23.54485417,boxian,62
23.54485417,24.67045833,shanghua,59
24.67045833,25.9005,boxian,57
25.9005,27.03770833,chanyin,59
27.03770833,28.24454167,boxian,50
28.24454167,29.43977083,dianyin,62
29.43977083,30.68141667,boxian,52
30.68141667,31.8534375,dianyin,64
31.8534375,33.3851875,chanyin,64
34.2555,35.4739375,boxian,50
35.4739375,36.68077083,boxian,62
36.68077083,37.85279167,boxian,62
37.85279167,39.01320833,boxian,62
39.01320833,40.23164583,boxian,52
40.23164583,41.41527083,boxian,64
41.41527083,42.58729167,chanyin,64
42.58729167,43.8289375,boxian,62
43.8289375,45.03577083,boxian,47
45.03577083,46.24260417,boxian,59
46.24260417,47.73954167,boxian,59
48.65627083,49.87470833,boxian,50
49.87470833,51.11635417,boxian,62
51.11635417,52.27677083,boxian,62
52.27677083,53.42558333,boxian,59
53.42558333,54.67883333,boxian,45
54.67883333,55.93208333,boxian,57
55.93208333,57.1273125,boxian,57
57.1273125,58.276125,boxian,59
58.276125,59.45975,boxian,50
59.45975,60.6781875,boxian,62
60.6781875,61.80379167,chanyin,62
61.80379167,62.98741667,chanyin,59
62.98741667,64.25227083,boxian,57
64.25227083,65.43589583,chanyin,59
65.43589583,66.70075,boxian,50
66.70075,67.90758333,chanyin,62
67.90758333,69.11441667,chanyin,59
69.11441667,70.33285417,boxian,57
70.33285417,72.618875,chanyin,54
72.618875,75.20660417,boxian,45
75.20660417,77.46941667,boxian,57
77.46941667,78.65304167,boxian,45
78.65304167,79.859875,boxian,57
79.859875,81.0086875,chanyin,57
81.0086875,82.38958333,chanyin,57
82.38958333,83.5848125,boxian,54
83.5848125,85.847625,chanyin,66
85.847625,87.04285417,boxian,57
87.04285417,88.26129167,boxian,45
88.26129167,89.47972917,boxian,57
89.47972917,90.66335417,boxian,57
90.66335417,91.85858333,boxian,57
91.85858333,93.11183333,boxian,52
93.11183333,94.27225,boxian,57
94.27225,95.50229167,boxian,45
95.50229167,96.6743125,boxian,57
96.6743125,97.88114583,boxian,52
97.88114583,99.02995833,boxian,57
99.02995833,100.2367917,boxian,45
100.2367917,101.4668333,boxian,57
101.4668333,102.6852708,boxian,50
102.6852708,103.8456875,boxian,57
103.8456875,105.0293125,boxian,45
105.0293125,106.24775,boxian,57
106.24775,107.431375,boxian,62
107.431375,108.6498125,boxian,69
108.6498125,109.8218333,boxian,57
109.8218333,111.1098958,boxian,69
111.1098958,112.3399375,boxian,52
112.3399375,113.5003542,boxian,57
113.5003542,114.7071875,boxian,45
114.7071875,115.8792083,boxian,57
115.8792083,117.0976458,boxian,52
117.0976458,118.2812708,boxian,64
118.2812708,120.7181458,chanyin,64
120.7181458,123.0853958,chanyin,64
123.0853958,125.46425,chanyin,66
125.46425,127.8895208,boxian,57
127.8895208,130.2799792,chanyin,69
130.2799792,131.4636042,boxian,59
131.4636042,132.635625,chanyin,71
132.635625,133.888875,boxian,69
133.888875,135.0841042,chanyin,71
135.0841042,137.4513542,boxian,62
137.4513542,139.8998333,chanyin,74
139.8998333,141.129875,boxian,62
141.129875,142.3135,chanyin,74
142.3135,143.497125,boxian,69
143.497125,144.6575417,chanyin,74
144.6575417,145.8759792,boxian,59
145.8759792,147.0828125,chanyin,71
147.0828125,148.3360625,boxian,74
148.3360625,149.5080833,chanyin,71
149.5080833,151.9333542,boxian,57
151.9333542,154.289,chanyin,69
154.289,155.472625,boxian,62
155.472625,156.6794583,chanyin,74
156.6794583,157.8978958,boxian,69
157.8978958,159.0699167,chanyin,74
159.0699167,160.2883542,boxian,59
160.2883542,161.460375,boxian,71
161.460375,162.6091875,boxian,66
162.6091875,163.8624375,chanyin,71
163.8624375,166.3573333,boxian,57
166.3573333,168.701375,chanyin,69
168.701375,169.9662292,boxian,64
169.9662292,171.1266458,chanyin,69
171.1266458,172.2754583,boxian,64
172.2754583,173.4474792,chanyin,66
173.4474792,175.8959583,boxian,57
175.8959583,178.3676458,chanyin,69
178.3676458,180.6304583,chanyin,64
180.6304583,183.0209167,chanyin,69
183.0209167,185.4693958,chanyin,64
185.4693958,187.9062708,chanyin,66
187.9062708,189.1015,boxian,57
189.1015,190.3083333,boxian,69
190.3083333,191.4571458,chanyin,69
191.4571458,192.5943542,chanyin,66
192.5943542,193.8243958,boxian,64
193.8243958,195.019625,boxian,66
195.019625,196.2612708,boxian,57
196.2612708,197.4681042,dianyin,69
197.4681042,199.8353542,chanyin,64
