onset_time,offset_time,IPT,note,
2.4020625,3.283979167,boxian,52,
3.283979167,4.1426875,boxian,64,
4.1426875,4.966583333,boxian,64,
4.966583333,5.8136875,chanyin,66,
5.8136875,7.565916667,boxian,52,
7.565916667,9.260125,chanyin,64,
9.260125,10.11883333,boxian,66,
10.11883333,10.97754167,chanyin,69,
10.97754167,11.88266667,boxian,66,
11.88266667,12.7065625,shanghua,64,
12.7065625,13.51885417,boxian,50,
13.51885417,14.35435417,boxian,62,
14.35435417,15.18985417,boxian,62,
15.18985417,16.07177083,boxian,59,
16.07177083,16.93047917,boxian,57,
16.93047917,17.80079167,chanyin,62,
17.80079167,18.6595,boxian,57,
18.6595,19.564625,boxian,59,
19.564625,21.2704375,chanyin,62,
21.2704375,22.99945833,chanyin,64,
22.99945833,23.8465625,boxian,54,
23.8465625,24.65885417,boxian,66,
24.65885417,25.49435417,boxian,66,
25.49435417,26.34145833,chanyin,64,
26.34145833,28.10529167,boxian,50,
28.10529167,29.84591667,chanyin,62,
29.84591667,30.65820833,boxian,52,
30.65820833,31.49370833,boxian,64,
31.49370833,32.32920833,boxian,64,
32.32920833,33.18791667,chanyin,66,
33.18791667,34.9865625,boxian,52,
34.9865625,36.70397917,chanyin,64,
36.70397917,37.4930625,boxian,66,
37.4930625,38.34016667,boxian,69,
38.34016667,39.21047917,boxian,66,
39.21047917,40.104,chanyin,64,
40.104,40.92789583,boxian,50,
40.92789583,41.75179167,boxian,62,
41.75179167,42.6453125,boxian,62,
42.6453125,43.515625,boxian,59,
43.515625,44.32791667,boxian,57,
44.32791667,45.186625,boxian,62,
45.186625,46.01052083,boxian,57,
46.01052083,46.88083333,boxian,59,
46.88083333,48.71429167,boxian,62,
48.71429167,50.42010417,boxian,52,
48.71429167,50.42010417,chanyin,64,
50.42010417,51.22079167,boxian,54,
51.22079167,52.05629167,boxian,66,
52.05629167,52.845375,boxian,66,
52.845375,53.86654167,chanyin,71,
53.86654167,55.53754167,boxian,57,
55.53754167,57.27816667,chanyin,69,
57.27816667,58.05564583,boxian,64,
58.05564583,58.89114583,boxian,69,
58.89114583,59.72664583,boxian,64,
59.72664583,60.63177083,boxian,66,
60.63177083,62.4188125,boxian,57,
62.4188125,64.11302083,chanyin,69,
64.11302083,65.78402083,chanyin,66,
65.78402083,67.55945833,chanyin,69,
67.55945833,69.276875,chanyin,64,
69.276875,70.92466667,boxian,66,
70.92466667,72.71170833,chanyin,66,
72.71170833,74.48714583,shanghua,69,
74.48714583,76.19295833,boxian,59,
76.19295833,77.82914583,boxian,62,
77.82914583,79.581375,chanyin,64,
79.581375,81.22916667,chanyin,66,
81.22916667,82.06466667,boxian,52,
82.06466667,82.93497917,chanyin,64,
82.93497917,83.80529167,dianyin,64,
83.80529167,84.64079167,dianyin,62,
84.64079167,85.47629167,boxian,47,
85.47629167,86.38141667,chanyin,59,
86.38141667,87.21691667,boxian,62,
87.21691667,88.08722917,chanyin,66,
88.08722917,89.86266667,boxian,52,
89.86266667,91.53366667,chanyin,64,
91.53366667,92.34595833,boxian,66,
92.34595833,93.23947917,chanyin,69,
93.23947917,94.063375,boxian,66,
94.063375,94.9336875,dianyin,64,
94.9336875,95.7691875,boxian,50,
95.7691875,96.59308333,boxian,62,
96.59308333,97.53302083,boxian,62,
97.53302083,98.40333333,dianyin,59,
98.40333333,99.215625,boxian,57,
99.215625,100.051125,boxian,62,
100.051125,100.9098333,boxian,57,
100.9098333,101.8265625,boxian,59,
101.8265625,103.5671875,chanyin,62,
103.5671875,105.2381875,chanyin,64,
105.2381875,106.9788125,boxian,54,
106.9788125,108.6266042,chanyin,59,
108.6266042,110.4020417,boxian,57,
110.4020417,112.09625,chanyin,69,
112.09625,112.9085417,boxian,64,
112.9085417,113.7440417,dianyin,69,
